ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
69,2Syllabes,TRUE,0.729254782,148.9738435,149.0142115,0.040368,69.375,62.94642857,95.80357143,32.85714286,6.038019115,106.4660331,1.477305161,-82.67697855,0.679009586,67.23214286
70,Complex,TRUE,0.753573239,149.1714605,149.1953405,0.02388,70.9375,65.9375,76.5625,10.625,1.975360659,118.0929851,1.574019813,-80.94019973,0.727413956,69.6875
71,2Syllabes,TRUE,0.780905485,149.3491037,149.3851037,0.036,68.22916667,64.0625,98.22916667,34.16666667,7.556682186,253.0994771,1.972109646,-84.94437972,0.701460543,66.5625
72,Complex,TRUE,0.823072195,149.5395768,149.5826328,0.043056,68.05392599,65.34634477,72.11529783,6.768953069,2.237666326,-151.2037423,1.414771703,-87.979066,0.680400037,70.31024368
73,2Syllabes,TRUE,0.697560012,149.7641787,149.7941787,0.03,64.13194444,59.17162698,100.8382937,41.66666667,9.42307658,-503.743715,1.902826057,-87.88002953,0.67680455,64.13194444
74,Upward,TRUE,0.738255978,149.9381599,149.9487999,0.01064,93.99720149,85.6016791,100.5270522,14.92537313,4.985386094,1338.998786,1.656346328,-98.87316501,0.486723802,95.86287313
75,2Syllabes,TRUE,1,150.1158399,150.1271399,0.0113,68.87957011,60.6558859,101.2260613,40.57017544,14.93787248,-2946.700956,1.794813394,-90.28262048,0.534299021,69.42781572
76,Complex,TRUE,0.788402557,150.2711586,150.2996706,0.028512,70.35966981,67.52948113,71.77476415,4.245283019,1.245044576,34.83987097,1.268095205,-74.96971023,0.855864862,71.77476415
77,Complex,TRUE,0.570302546,150.4457018,150.4836218,0.03792,68.60294118,65.97689076,71.2289916,5.25210084,1.479256072,-83.99308754,1.275354978,-81.42011765,0.749709336,69.12815126
78,Upward,TRUE,0.682277977,150.6279328,150.6408128,0.01288,99.46808511,89.27304965,105.2304965,15.95744681,4.660487523,458.8931424,2.417652991,-108.8758269,0.27209623,99.91134752
